title,institution,published,year,cited,accred,Labeling
FACTORS INFLUENCING THE WELFARE OF RAJUANGAN FISHERMEN IN THE EASTERN COASTAL WATERS OF LAMPUNG PROVINCE,Universitas Mataram,Jurnal Perikanan Unram Vol 15 No 1 (2025): JURNAL PERIKANAN102-111,2025,DOI: 10.29303/jp.v15i1.1384,Accred : Unknown,No Poverty (Tanpa Kemiskinan)
,,,,,,Decent Work and Economic Growth (Pekerjaan Layak dan Pertumbuhan Ekonomi)
"Anti-breast cancer bioactive compounds and in-silico molecular prediction of Crassostrea angulata (Lamarck, 1819): Prediksi senyawa bioaktif antikanker payudara dan molekuler in-silico Crassostrea angulata (Lamarck, 1819)",Department of Aquatic Product Technology IPB University in collaboration with Masyarakat Pengolahan Hasil Perikanan Indonesia (MPHPI),Jurnal Pengolahan Hasil Perikanan Indonesia Vol 28 No 1 (2025): Jurnal Pengolahan Hasil Perikanan Indonesia 28(1)38-50,2025,DOI: 10.17844/jphpi.v28i1.57937,Accred : Sinta 1,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
,,,,,,Life Below Water (Ekosistem Laut)
Optimalisasi Lahan Sempit Menggunakan Hidroponik Pakcoy Dengan Pemanfaatan Botol Bekas Di Lingkungan 02 Kelurahan Bumi Agung Kecamatan Kalianda,CV.ITTC INDONESIA,Jurnal Ekonomi Pertanian dan Agribisnis Vol. 2 No. 2 (2025): Januari - Juni135-140,2025,DOI: -,Accred : Unknown,Zero Hunger (Tanpa Kelaparan)
,,,,,,Sustainable Cities and Communities (Kota dan Pemukiman yang Berkelanjutan)
Strategi Networking Berbasis Ilmu Komunikasi: Upaya Mahasiswa KKN Universitas Lampung dalam Mempromosikan Wisata Desa Kecapi,CV. ITTC INDONESIA,Jurnal Ilmu Komunikasi Dan Sosial Politik Vol. 2 No. 3 (2025): Januari - Maret855-860,2025,DOI: -,Accred : Unknown,Decent Work and Economic Growth (Pekerjaan Layak dan Pertumbuhan Ekonomi)
,,,,,,Sustainable Cities and Communities (Kota dan Pemukiman yang Berkelanjutan)
"Early Gonadal Differentiation, Sex Ratio, and Growth Performance of Nile Tilapia (Oreochromis niloticus) with Tribulus terrestris Extract Supplemen-tation",Department of Aquaculture,Journal of Aquaculture and Fish Health Vol. 14 No. 1 (2025): JAFH Vol. 14 No. 1 February 2025103-113,2025,DOI: 10.20473/jafh.v14i1.62860,Accred : Unknown,Zero Hunger (Tanpa Kelaparan)
,,,,,,Life Below Water (Ekosistem Laut)
Nilai Moral dalam Mitos Naga Mas Danau Ranau pada Masyarakat Desa Sukau,Asosiasi Periset Bahasa Sastra Indonesia,Sintaksis : Publikasi Para ahli Bahasa dan Sastra Inggris Vol. 3 No. 1 (2025): Publikasi Para ahli Bahasa dan Sastra Inggris132-141,2025,DOI: 10.61132/sintaksis.v3i1.1285,Accred : Unknown,Quality Education (Pendidikan Berkualitas)
,,,,,,Sustainable Cities and Communities (Kota dan Pemukiman yang Berkelanjutan)
Literature Review : Alih Kode dan Campur Kode pada Artikel 2019-2023,Asosiasi Riset Ilmu Pendidikan Indonesia,Jurnal Bima : Pusat Publikasi Ilmu Pendidikan bahasa dan Sastra Vol. 3 No. 1 (2025): Jurnal Bima : Pusat Publikasi Ilmu Pendidikan bahasa dan Sastra113-127,2025,DOI: 10.61132/bima.v3i1.1475,Accred : Unknown,Quality Education (Pendidikan Berkualitas)
Tradisi dan Tata Cara Penanaman Tembuni Serta Selametan Bayi dalam Budaya Lampung,Asosiasi Seni Desain dan Komunikasi Visual Indonesia,"Filosofi : Publikasi Ilmu Komunikasi, Desain, Seni Budaya Vol. 2 No. 1 (2025): Filosofi : Publikasi Ilmu Komunikasi, Desain, Seni Budaya46-52",2025,DOI: 10.62383/filosofi.v2i1.463,Accred : Unknown,Sustainable Cities and Communities (Kota dan Pemukiman yang Berkelanjutan)
,,,,,,Quality Education (Pendidikan Berkualitas)
Perancangan Visualisasi Elektronik Pencegahan Jantung Koroner Berbasis Teknologi Augmented Reality,Politeknik Harapan Bersama,"Jurnal Informatika: Jurnal Pengembangan IT Vol 10, No 1 (2025)86-94",2025,DOI: 10.30591/jpit.v10i1.8137,Accred : Unknown,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Penerapan Aplikasi Penerimaan Siswa Baru di Sekolah Menengah Kejuruan Berbasis Android Menerapkan Model Waterfall,Forum Kerjasama Pendidikan Tinggi (FKPT),Journal of Information System Research (JOSH) Vol 6 No 2 (2025): Januari 20251176-1185,2025,DOI: 10.47065/josh.v6i2.6620,Accred : Sinta 4,Quality Education (Pendidikan Berkualitas)
,,,,,,"Industry, Innovation and Infrastructure (Industri, Inovasi, dan Infrastruktur)"
Analysis of Teachers' Needs in Renewable Energy Learning Programs Using SSI Integrated with PjBL-STEM to Enhance Collaborative Problem-Solving and Entrepreneurial Skills,"Postgraduate, University of Mataram",Jurnal Penelitian Pendidikan IPA Vol 11 No 1 (2025): January774-782,2025,DOI: 10.29303/jppipa.v11i1.9299,Accred : Sinta 2,Quality Education (Pendidikan Berkualitas)
,,,,,,Affordable and Clean Energy (Energi Bersih dan Terjangkau)
EKOWISATA MANGROVE CUKU NYI-NYI SESUAI INDEKS KESESUAIAN WISATA DAN DAYA DUKUNG KAWASAN,Fakultas Teknik Universitas Tunas Pembangunan Surakarta,Jurnal Teknik Sipil dan Arsitektur Vol. 30 No. 1 (2025): JURNAL TEKNIK SIPIL DAN ARSITEKTUR68-78,2025,DOI: 10.36728/jtsa.v30i1.4082,Accred : Unknown,Life Below Water (Ekosistem Laut)
,,,,,,Decent Work and Economic Growth (Pekerjaan Layak dan Pertumbuhan Ekonomi)
EKOWISATA MANGROVE CUKU NYI-NYI SESUAI INDEKS KESESUAIAN WISATA DAN DAYA DUKUNG KAWASAN,Fakultas Teknik Universitas Tunas Pembangunan Surakarta,Jurnal Teknik Sipil dan Arsitektur Vol. 30 No. 1 (2025): JURNAL TEKNIK SIPIL DAN ARSITEKTUR68-78,2025,DOI: 10.36728/jtsa.v30i1.4082,Accred : Unknown,Life Below Water (Ekosistem Laut)
,,,,,,Decent Work and Economic Growth (Pekerjaan Layak dan Pertumbuhan Ekonomi)
PENINJAUAN KAWASAN TERUMBU KARANG DAN INFRASTRUKTUR DI PULAU KELAGIAN BESAR SEBAGAI PENUNJANG EKOWISATA BAHARI,Universitas Sahid,"Jurnal Industri Parawisata Vol 7, No 2 (2025): JANUARY167-180",2025,DOI: 10.36441/pariwisata.v7i2.2279,Accred : Sinta 4,Life Below Water (Ekosistem Laut)
,,,,,,"Industry, Innovation and Infrastructure (Industri, Inovasi, dan Infrastruktur)"
DESAIN PEMBANGKIT LISTRIK TENAGA SURYA (PLTS) ON-GRID 60 KWP,Universitas Lampung,"Jurnal Informatika dan Teknik Elektro Terapan Vol 13, No 1 (2025)",2025,DOI: 10.23960/jitet.v13i1.5537,Accred : Sinta 5,Affordable and Clean Energy (Energi Bersih dan Terjangkau)
Design and implementation of PV emulator based on synchronous buck converter using Arduino Nano microcontroller,Institute of Advanced Engineering and Science,"International Journal of Power Electronics and Drive Systems (IJPEDS) Vol 16, No 1: March 2025448-456",2025,DOI: 10.11591/ijpeds.v16.i1.pp448-456,Accred : Unknown,Affordable and Clean Energy (Energi Bersih dan Terjangkau)
,,,,,,"Industry, Innovation and Infrastructure (Industri, Inovasi, dan Infrastruktur)"
Evaluating BMKG Public Information Services in Flood Disaster Areas Using ITO (Input-Throughput-Output) Model Approach,Eastasouth Institute,The Eastasouth Journal of Social Science and Humanities Vol. 2 No. 02 (2025): The Eastasouth Journal of Social Science and Humanities (ESSSH)250 â 266,2025,DOI: 10.58812/esssh.v2i02.384,Accred : Unknown,Sustainable Cities and Communities (Kota dan Pemukiman yang Berkelanjutan)
,,,,,,Climate Action (Penanganan Perubahan Iklim)
Implementation of School Zoning System Policy for Prospective New Students on the Border of Bandar Lampung City and South Lampung Regency,Eastasouth Institute,The Eastasouth Journal of Social Science and Humanities Vol. 2 No. 02 (2025): The Eastasouth Journal of Social Science and Humanities (ESSSH)267 â 281,2025,DOI: 10.58812/esssh.v2i02.385,Accred : Unknown,Quality Education (Pendidikan Berkualitas)
,,,,,,Reduced Inequalities (Berkurangnya Kesenjangan)
PENERAPAN METODE RAPID APPLICATION DEVELOPMENT UNTUK SISTEM INFORMASI EVENT BERBASIS WEB PADA UNIVERSITAS LAMPUNG,Universitas Lampung,"Jurnal Informatika dan Teknik Elektro Terapan Vol 13, No 1 (2025)",2025,DOI: 10.23960/jitet.v13i1.5597,Accred : Sinta 5,"Industry, Innovation and Infrastructure (Industri, Inovasi, dan Infrastruktur)"
,,,,,,Quality Education (Pendidikan Berkualitas)
Optimalisasi Desain Tata Letak Ruang Perpustakaan OPPM Pondok Modern Darussalam Gontor Untuk Kemudahan Akses Buku Santri,STMIK Royal,"Jurdimas (Jurnal Pengabdian Kepada Masyarakat) Royal Vol 8, No 1 (2025): Januari 202514-21",2025,DOI: 10.33330/jurdimas.v8i1.3461,Accred : Sinta 4,Quality Education (Pendidikan Berkualitas)
"Sosial Ekonomi, Literasi Keuangan Digital, Inklusi Keuangan Terhadap Perilaku dan Perencanaan Menabung di Masa Depan",Intitut Agama Islam Nasional Laa Roiba Bogor,El-Mal: Jurnal Kajian Ekonomi & Bisnis Islam Vol. 6 No. 1 (2025): El-Mal: Jurnal Kajian Ekonomi & Bisnis Islam195 â 204,2025,DOI: 10.47467/elmal.v6i1.5779,Accred : Unknown,No Poverty (Tanpa Kemiskinan)
,,,,,,Decent Work and Economic Growth (Pekerjaan Layak dan Pertumbuhan Ekonomi)
Pengaruh Budaya Organisasional dan Beban Kerja dengan Kepuasan Kerja sebagai Variabel Mediasi terhadap Kinerja Pegawai Negeri Sipil (PNS) Fungsional,PT. PENERBIT TIGA MUTIARA,Mutiara: Jurnal Ilmiah Multidisiplin Indonesia Vol. 3 No. 1 (2025): JIMI - JANUARI16-30,2025,DOI: 10.61404/jimi.v3i1.350,Accred : Unknown,Decent Work and Economic Growth (Pekerjaan Layak dan Pertumbuhan Ekonomi)
,,,,,,"Peace, Justice and Strong Institutions (Perdamaian, Keadilan, dan Kelembagaan yang Tangguh)"
The Effect of Podcast-Based Learning Media on the Speaking Skills in Islamic Cultural History (SKI) of MTs Raudhatul Jannah NW Bengkang Students,Pendidikan Islam Anak Usia Dini STIT Palapa Nusantara,AS-SABIQUN Vol 7 No 1 (2025): JANUARI73-90,2025,DOI: 10.36088/assabiqun.v7i1.5558,Accred : Sinta 4,Quality Education (Pendidikan Berkualitas)
Digital Literacy Development Strategy in Higher Education Institutions,UNDIKMA,"Jurnal Teknologi Pendidikan : Jurnal Penelitian dan Pengembangan Pembelajaran Vol 10, No 1 (2025): Januari30-37",2025,DOI: 10.33394/jtp.v10i1.13882,Accred : Unknown,Quality Education (Pendidikan Berkualitas)
Pengelolaan Sarana dan Prasarana dalam Meningkatkan Kualitas Pembelajaran: Studi Deskriptif di SDN Percontohan Kecamatan Badar Kabupaten Aceh Tenggara,Departement of Mathematics Education,Journal on Education Vol 7 No 2 (2025): Journal on Education: Volume 7 Nomor 2 Tahun 2025 In Progress (Januari-Februari 29624- 9628,2025,DOI: 10.31004/joe.v7i2.7948,Accred : Sinta 5,Quality Education (Pendidikan Berkualitas)
Pengembangan Kompetensi Profesional Guru PAI untuk Meningkatkan Inovasi Pembelajaran Agama Islam,CV Edu Tech Jaya,Komprehensif Vol 3 No 1 (2025)176-185,2025,DOI: -,Accred : Unknown,Quality Education (Pendidikan Berkualitas)
The Prospects and Challenges of STEM-PjBL with Design Thinking Strategies in Enhancing Students' Creativity and Entrepreneurial Thinking in the Context of Plastic Waste Recycling: Teachers' Perspectives,"Postgraduate, University of Mataram",Jurnal Penelitian Pendidikan IPA Vol 11 No 1 (2025): January28-37,2025,DOI: 10.29303/jppipa.v11i1.9357,Accred : Sinta 2,Responsible Consumption and Production (Konsumsi dan Produksi yang Bertanggung Jawab)
,,,,,,Quality Education (Pendidikan Berkualitas)
Teachers' Perception toward e-LKPD STEM-EDP to Improve System Thinking Skills and Creative Problem Solving Skills,"Postgraduate, University of Mataram",Jurnal Penelitian Pendidikan IPA Vol 11 No 1 (2025): January800-808,2025,DOI: 10.29303/jppipa.v11i1.9491,Accred : Sinta 2,Quality Education (Pendidikan Berkualitas)
Socio Scientific Issue Integrated STEM-PjBL in Teachers' Perspective: Can Its Implementation in Learning Programs Improve Students' Creative Thinking Skills on the Topic of Renewable Energy?,"Postgraduate, University of Mataram",Jurnal Penelitian Pendidikan IPA Vol 11 No 1 (2025): January89-98,2025,DOI: 10.29303/jppipa.v11i1.9534,Accred : Sinta 2,Affordable and Clean Energy (Energi Bersih dan Terjangkau)
,,,,,,Quality Education (Pendidikan Berkualitas)
"Community Empowerment Through Processing Waste into Fashion Products uses Heat Techniques Press to Increase Community Income in Senggigi Village, West Lombok District","Institut Teknologi Nasional, Bandung","REKA ELKOMIKA: Jurnal Pengabdian kepada Masyarakat Vol 6, No 1 (2025): Reka Elkomika22-29",2025,DOI: 10.26760/rekaelkomika.v6i1.22-29,Accred : Unknown,Decent Work and Economic Growth (Pekerjaan Layak dan Pertumbuhan Ekonomi)
,,,,,,Responsible Consumption and Production (Konsumsi dan Produksi yang Bertanggung Jawab)
Information and Communication Technology Teachers' Competence to Support Learning Activities at Elementary School,Universitas Pahlawan Tuanku Tambusai,"Journal of English Language and Education Vol 10, No 1 (2025)467-475",2025,DOI: 10.31004/jele.v10i1.681,Accred : Unknown,Quality Education (Pendidikan Berkualitas)
Kemampuan Membaca Kitab Kuning Mahasiswa Perguruan Tinggi Islam Berbasis Pesantren,Lembaga Yasin AlSys,YASIN Vol 5 No 1 (2025): FEBRUARI631-651,2025,DOI: 10.58578/yasin.v5i1.4972,Accred : Unknown,Quality Education (Pendidikan Berkualitas)
Perancangan Aplikasi Sales Force Automation untuk Pengolahan Data Penjualan dan Pencapaian Target pada Toko XYZ,Institut Pertanian Bogor,MANAJEMEN IKM: Jurnal Manajemen Pengembangan Industri Kecil Menengah Vol. 20 No. 1 (2025): Manajemen IKM72-79,2025,DOI: 10.29244/mikm.20.1.72-79,Accred : Unknown,"Industry, Innovation and Infrastructure (Industri, Inovasi, dan Infrastruktur)"
Peningkatan Pendapatan Petani Tembakau melalui Penerapan Teknologi Mesin Perajang Daun Tembakau di Kecamatan Purbolinggo Kabupaten Lampung Timur,Perhimpunan Sarjana Ekonomi dan Bisnis,Jurnal PKM Manajemen Bisnis Vol. 5 No. 1 (2025): Jurnal PKM Manajemen Bisnis1-8,2025,DOI: 10.37481/pkmb.v5i1.1123,Accred : Sinta 5,No Poverty (Tanpa Kemiskinan)
,,,,,,Decent Work and Economic Growth (Pekerjaan Layak dan Pertumbuhan Ekonomi)
"Determining the Grade of Robusta Coffee Beans of Lampung, Bengkulu, and South Sumatra Provinces by Using the Analytical Hierarchy Process (AHP)",Society of Visual Informatics,"JOIV : International Journal on Informatics Visualization Vol 9, No 1 (2025)371-377",2025,DOI: 10.62527/joiv.9.1.2667,Accred : Sinta 1,Responsible Consumption and Production (Konsumsi dan Produksi yang Bertanggung Jawab)
Impact of High-Temperature Heating on the Chemical Stability and Sensory Quality of Red Palm Oil,The University of Lampung,"Jurnal Teknik Pertanian Lampung (Journal of Agricultural Engineering) Vol 14, No 1 (2025): February 2025215-225",2025,DOI: 10.23960/jtep-l.v14i1.215-225,Accred : Unknown,Responsible Consumption and Production (Konsumsi dan Produksi yang Bertanggung Jawab)
,,,,,,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
"Institutional Analysis of Sustainable Management of the Sekampung Watershed, Lampung Province, Indonesia","Department of Forestry, Faculty of Agriculture, University of Lampung",Jurnal Sylva Lestari Vol. 13 No. 1 (2025): January173-189,2025,DOI: 10.23960/jsl.v13i1.1041,Accred : Unknown,Life on Land (Ekosistem Daratan)
,,,,,,Clean Water and Sanitation (Air Bersih dan Sanitasi Layak)
"MAXIMIZATION OF PRE-HARVEST, HARVEST AND POST-HARVEST HANDLING AS AN EFFORT TO MAINTAIN WOTEL QUALITY",Universitas Veteran Bangun Nusantara,Agrisaintifika: Jurnal Ilmu-Ilmu Pertanian Vol. 9 No. 1 (2025): Agrisaintifika83-91,2025,DOI: 10.32585/ags.v9i1.6119,Accred : Unknown,Zero Hunger (Tanpa Kelaparan)
"Evaluasi Keamanan Jembatan Terhadap Gerusan Lokal: Studi Kasus Pada Jembatan Sumanda - Sukamulya Tanggamus, Lampung",Universitas Nahdlatul Ulama Blitar,"BRILIANT: Jurnal Riset dan Konseptual Vol 10 No 1 (2025): Volume 10 Nomor 1, Februari 2025185-197",2025,DOI: 10.28926/briliant.v10i1.2106,Accred : Unknown,"Industry, Innovation and Infrastructure (Industri, Inovasi, dan Infrastruktur)"
PEMBERDAYAAN DIGITAL UNTUK PARIWISATA: WORKSHOP CANVA DAN CAPCUT BAGI PEMUDA KARANG TARUNA,Lembaga Penelitian dan Pengabdian Universitas Lampung,Jurnal Pengabdian Kepada Masyarakat Sakai Sambayan Vol. 9 No. 1 (2025)37-41,2025,DOI: 10.23960/jss.v9i1.572,Accred : Unknown,Decent Work and Economic Growth (Pekerjaan Layak dan Pertumbuhan Ekonomi)
,,,,,,Sustainable Cities and Communities (Kota dan Pemukiman yang Berkelanjutan)
Pengaruh Pelatihan dan Pengembangan Terhadap Kepuasan Kerja,Sekolah Tinggi Ilmu Kesehatan Kendal,Jurnal Ilmiah Permas: Jurnal Ilmiah STIKES Kendal Vol 15 No 1 (2025): Jurnal Ilmiah Permas: Jurnal Ilmiah STIKES Kendal: Januari 2025189-198,2025,DOI: 10.32583/pskm.v15i1.3429,Accred : Sinta 3,Decent Work and Economic Growth (Pekerjaan Layak dan Pertumbuhan Ekonomi)
Peningkatan pengetahuan tentang pola makan sehat dalam mengurangi risiko hipertensi di Desa Sungai Langka,Indonesian Public Health-Observer Information Forum (IPHORR) Kerja sama dengan: Unit Penelitian dan Pengabdian Kep Akademi Keperawatan Baitul Hikmah,JOURNAL OF Public Health Concerns Vol. 4 No. 6 (2025): JOURNAL OF Public Health Concerns200-207,2025,DOI: 10.56922/phc.v4i6.768,Accred : Unknown,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
The Bioprospecting of endophytic fungi in mangrove as natural anti-Vibrio parahaemolyticus,Talenta Publisher,Global Forest Journal Vol. 3 No. 01 (2025): Global Forest Journal41-50,2025,DOI: 10.32734/gfj.v3i01.16102,Accred : Unknown,Life Below Water (Ekosistem Laut)
,,,,,,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
"Distribution Institution Of Subsidized Fuel For Fishermen In Kangkung Village, Bandar Lampung City",Universitas Bangka Belitung,Journal of Tropical Marine Science Vol 8 No 1 (2025): Journal of Tropical Marine Science (on going)47-56,2025,DOI: 10.33019/jour.trop.mar.sci.v8i1.5178,Accred : Unknown,Affordable and Clean Energy (Energi Bersih dan Terjangkau)
,,,,,,Life Below Water (Ekosistem Laut)
Fishermen's Insurance Program In Bandar Lampung City Based On An Institution Perspective,Universitas Bangka Belitung,Journal of Tropical Marine Science Vol 8 No 1 (2025): Journal of Tropical Marine Science (on going)57-64,2025,DOI: 10.33019/jour.trop.mar.sci.v8i1.5558,Accred : Unknown,No Poverty (Tanpa Kemiskinan)
,,,,,,Life Below Water (Ekosistem Laut)
COMMUNITY PERSPECTIVE ON FOREST CONDITION (CASE STUDY IN KTH TALANG PONIJAN AND SIDODADI I),Forestry Study Program University Of Mataram,Jurnal Belantara Vol 8 No 1 (2025)86-104,2025,DOI: 10.29303/jbl.v8i1.1082,Accred : Unknown,Life on Land (Ekosistem Daratan)
ANALYSIS OF TYPES AND ECONOMIC VALUE OF NON-TIMBER FOREST PRODUCTS OF THE CONSERVATION PARTNERSHIP FOREST FARMER GROUP OF WAN ABDUL RACHMAN FOREST PARK,Forestry Study Program University Of Mataram,Jurnal Belantara Vol 8 No 1 (2025)175-184,2025,DOI: 10.29303/jbl.v8i1.1106,Accred : Unknown,Life on Land (Ekosistem Daratan)
,,,,,,Decent Work and Economic Growth (Pekerjaan Layak dan Pertumbuhan Ekonomi)
Kuliah Kerja Nyata: Digitalisasi Pemasaran UMKM Di Desa Tegur Wangi Lama,Pakis Journal Institute,Mestaka: Jurnal Pengabdian Kepada Masyarakat Vol. 4 No. 1 (2025): Februari 202553-57,2025,DOI: 10.58184/mestaka.v4i1.596,Accred : Unknown,Decent Work and Economic Growth (Pekerjaan Layak dan Pertumbuhan Ekonomi)
Implementation of E-Module Flip Pdf Higher Order Thinking Skills to Improve Geography Learning Outcomes at Senior High School Level,UNDIKMA,"Jurnal Teknologi Pendidikan : Jurnal Penelitian dan Pengembangan Pembelajaran Vol 10, No 1 (2025): Januari182-190",2025,DOI: 10.33394/jtp.v10i1.14168,Accred : Unknown,Quality Education (Pendidikan Berkualitas)
Development of Qr-Code Media-Based Modules in Constructing Learning to Increase Learning Motivation,UNDIKMA,"Jurnal Teknologi Pendidikan : Jurnal Penelitian dan Pengembangan Pembelajaran Vol 10, No 1 (2025): Januari191-199",2025,DOI: 10.33394/jtp.v10i1.14577,Accred : Unknown,Quality Education (Pendidikan Berkualitas)
"Flood Risk Management (Studi Kasus: Sungai Bahodopi, Di Kecamatan Bahodopi, Kabupaten Morowali)",Universitas Muhammadiyah Surakarta,"Sinektika: Jurnal Arsitektur Vol 22, No 1: Januari 2025",2025,DOI: -,Accred : Unknown,Climate Action (Penanganan Perubahan Iklim)
,,,,,,Sustainable Cities and Communities (Kota dan Pemukiman yang Berkelanjutan)
Acceptance for a booster dose of COVID-19 vaccine in Indonesia: A follow-up study,Narra Sains Indonesia,Narra J Vol. 5 No. 1 (2025): April 2025 (In progress)e803,2025,DOI: 10.52225/narra.v5i1.803,Accred : Unknown,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Effectiveness of P5 Teaching Module Training at Al-Hakim Kalianda Kindergarten,UNDIKMA,"Jurnal Teknologi Pendidikan : Jurnal Penelitian dan Pengembangan Pembelajaran Vol 10, No 1 (2025): Januari38-48",2025,DOI: 10.33394/jtp.v10i1.13589,Accred : Unknown,Quality Education (Pendidikan Berkualitas)
The Influence of Game Based Learning on Student Motivation in the Digital Era: Literature Review,UNDIKMA,"Jurnal Teknologi Pendidikan : Jurnal Penelitian dan Pengembangan Pembelajaran Vol 10, No 1 (2025): Januari122-131",2025,DOI: 10.33394/jtp.v10i1.13814,Accred : Unknown,Quality Education (Pendidikan Berkualitas)
Aksiologi Sebagai Landasan Ilmu: Menyelaraskan Literasi Digital dan Etika Digital di Era Society 5.0,Departement of Mathematics Education,Journal on Education Vol 7 No 2 (2025): Journal on Education: Volume 7 Nomor 2 Tahun 2025 In Progress (Januari-Februari 28965-8976,2025,DOI: -,Accred : Sinta 5,Quality Education (Pendidikan Berkualitas)
,,,,,,"Peace, Justice and Strong Institutions (Perdamaian, Keadilan, dan Kelembagaan yang Tangguh)"
"Evaluating Tourism Performance through Tourist Perceptions: A Case Study of Petengoran Mangrove Tourism in Lampung, Indonesia","Department of Forestry, Faculty of Agriculture, University of Lampung",Jurnal Sylva Lestari Vol. 13 No. 1 (2025): January1-20,2025,DOI: 10.23960/jsl.v13i1.976,Accred : Unknown,Decent Work and Economic Growth (Pekerjaan Layak dan Pertumbuhan Ekonomi)
,,,,,,Life Below Water (Ekosistem Laut)
Efisiensi Teknis Padi Lahan Kering Hibrida dan Inbrida di Kabupaten Lampung Tengah,Universitas Galuh,"Mimbar Agribisnis : Jurnal Pemikiran Masyarakat Ilmiah Berwawasan Agribisnis Vol 11, No 1 (2025): Januari 2025709-716",2025,DOI: 10.25157/ma.v11i1.16313,Accred : Sinta 3,Zero Hunger (Tanpa Kelaparan)
,,,,,,Responsible Consumption and Production (Konsumsi dan Produksi yang Bertanggung Jawab)
NDVI Analysis And Land Use Change To Support New Rice Field Development Plans In Central Lampung Regency,Universitas Galuh,"Mimbar Agribisnis : Jurnal Pemikiran Masyarakat Ilmiah Berwawasan Agribisnis Vol 11, No 1 (2025): Januari 202582-91",2025,DOI: 10.25157/ma.v11i1.15208,Accred : Sinta 3,Zero Hunger (Tanpa Kelaparan)
,,,,,,Life on Land (Ekosistem Daratan)
Pengembangan media digital interactive books meningkatkan kemampuan communication and collaboration menghadapi era merdeka belajar,IKIP Siliwangi,COLLASE (Creative of Learning Students Elementary Education) Vol. 8 No. 1 (2025)1-12,2025,DOI: 10.22460/collase.v8i1.24802,Accred : Unknown,Quality Education (Pendidikan Berkualitas)
Analysis of Qawaâid Fiqhiyyah in the Utilization of Zakat as a Solution to Illegal Online Loans,"Department of Sharia Economic Law, Faculty Sharia and Law, UIN Sunan Gunung Djati Bandung","Al-Muamalat: Jurnal Ekonomi Syariah Vol 12, No 1 (2025): January (IN PRESS)",2025,DOI: 10.15575/am.v12i1.40687,Accred : Unknown,No Poverty (Tanpa Kemiskinan)
